"Name","Album","Artist"
"Atas Nama Pertaubatan","Phonograph","Burgerkill"
"Anjing Tanah","Beyond Coma and Despair","Burgerkill"
"Darah Hitam Kebencian","Beyond Coma and Despair","Burgerkill"
"Pasukan Babi Neraka","Jagal Skena","Siksa Kubur"
"Memoar Sang Pengkhianat","Tentara Merah Darah","Siksa Kubur"
"Anak Lelaki dan Bogel","St. Kristo","Siksa Kubur"
"Manufaktur Replika Baptis","Horror Vision","DeadSquad"
"Dominasi Belati","Horror Vision","DeadSquad"
"Jurnal Nekropol","Tyranation","DeadSquad"
"Sistem Keparat","Koil","Koil"
"Aku Lupa Aku Luka","Blacklight","Koil"
"Bento","Swami I","Iwan Fals"
"Hukum Rimba","Predator","Marjinal"
"Gossip Jalanan","Road to Peace","Slank"
"Punk Hari Ini","Kuta Rock City","Superman Is Dead"
"Pesta Mabuk Senjata","Pesta Mabuk Senjata (Single)",".Feast"
"Bongkar","Swami I","Iwan Fals"
"Marching Menuju Maut","The Brandals","The Brandals"
"Bakar","Bakar (Single)","Netral"
"Sakit Jiwa","Adamantine","Burgerkill"
"Penjara Batin","Chapter IV: Rise of the Destructive One","Jasad"
"Rantai Darah","Rantai Darah (Single)","Revenge The Fate"
"Serana","Serana (Single)","For Revenge"
"Anarki di RI","Anarki di RI (Single)","Pas Band"
"Babi","Babi (Single)","Seringai"
"Negeri Ngeri","Predator","Marjinal"
"Seperti Para Koruptor","The Big Hip","Slank"
"Belati Tuhan","Black Market Love","Superman Is Dead"
"Gugatan Rakyat Semesta","Membangun dan Menghancurkan",".Feast"
"Tiga Titik Hitam","Berkarat","Burgerkill"
"Mati Yang Sebenarnya","The Seventh Seal","Siksa Kubur"
"Pragmatik (Bukan) Martir","Profanatik","DeadSquad"
"Ini Semua Harus Berakhir","Megaloblast","Koil"
"Nekropolis","Illsurrekshun","Homicide"
"Boikot","Boikot (Single)","Marjinal"
"Bangsat","Bangsat (Single)","Slank"
"Kami vs Mereka","Kuta Rock City","Superman Is Dead"
"Peradaban","Abdi Lara Insani",".Feast"
"Rumah Api","Rumah Api (Single)","Burgerkill"
"Destinasi Agresi","Tentara Merah Darah","Siksa Kubur"
"Hiperbola Dogma Monoteis","Tyranation","DeadSquad"
"Semoga Kau Sembuh","Blacklight","Koil"
"Rima Aborigin","Godzkilla Necronometry","Homicide"
"Lawan","Lawan (Single)","Jeruji"
"Ambisi","Redemption","Revenge The Fate"
"Untuk Siapa?","Second Chance","For Revenge"
"Jengah","in (no) sensation","Pas Band"
"Mengadili Persepsi","Serigala Militia","Seringai"
"Cacing","Cacing (Single)","Marjinal"
"HAM Burger","Virus","Slank"
"Citra Natural","High Octane Rock","Seringai"
"Serigala Militia","Serigala Militia","Seringai"
"Program Party Seringai","Taring","Seringai"
"Shadow of War","Adamantine","Burgerkill"
"Hancur","Berkarat","Burgerkill"
"Adamantine","Adamantine","Burgerkill"
"Undefeated","Adamantine","Burgerkill"
"Dunia Penuh Noda","Tentara Merah Darah","Siksa Kubur"
"Agenda Penggelapan Dunia","Tentara Merah Darah","Siksa Kubur"
"Konfesi","St. Kristo","Siksa Kubur"
"Potongan Organ Hilang","The Seventh Seal","Siksa Kubur"
"Katarsis","Tyranation","DeadSquad"
"Anatomi Dosa","Tyranation","DeadSquad"
"Sermon of Deception","Profanatik","DeadSquad"
"Nyanyian Malam","Nyanyian Malam (Single)","Koil"
"Mendekati Surga","Blacklight","Koil"
"Puisi Puitis","Puisi Puitis (Single)","Koil"
"Penjara","Penjara (Single)","Koil"
"Lelaki Pemberani","Lelaki Pemberani (Single)","Koil"
"Pembalasan","Pembalasan (Single)","Revenge The Fate"
"Kashmir","Redemption","Revenge The Fate"
"Sad But True (Cover)","Sad But True (Single)","Revenge The Fate"
"Perayaan Patah Hati","Aurum","For Revenge"
"Pulang","Second Chance","For Revenge"
"Jentaka","Jentaka (Single)","For Revenge"
"Gladiator","Stairway to Seventh","Pas Band"
"Bocah","Psycho I.D","Pas Band"
"Impresi","in (no) sensation","Pas Band"
