"Name","Album","Artist"
"Bento","Swami I","Iwan Fals"
"Wakil Rakyat","Wakil Rakyat","Iwan Fals"
"Manusia Setengah Dewa","Manusia Setengah Dewa","Iwan Fals"
"Negeri Ngeri","Predator","Marjinal"
"Hukum Rimba","Predator","Marjinal"
"Boikot","Boikot (Single)","Marjinal"
"Gossip Jalanan","Road to Peace","Slank"
"Seperti Para Koruptor","The Big Hip","Slank"
"Amerika","The Big Hip","Slank"
"Sunset di Tanah Anarki","Sunset di Tanah Anarki","Superman Is Dead"
"Kuat Kita Bersinar","Angels and the Outsiders","Superman Is Dead"
"Peradaban","Abdi Lara Insani",".Feast"
"Pesta Mabuk Senjata","Pesta Mabuk Senjata (Single)",".Feast"
"Gugatan Rakyat Semesta","Membangun dan Menghancurkan",".Feast"
"Cinta Melulu","Efek Rumah Kaca","Efek Rumah Kaca"
"Pasar Bisa Diciptakan","Kamar Gelap","Efek Rumah Kaca"
"Mosi Tidak Percaya","Kamar Gelap","Efek Rumah Kaca"
"Lagu Untuk Revolusi","Akibat Pergaulan Blues","Jason Ranti"
"Variasi Pink","Akibat Pergaulan Blues","Jason Ranti"
"Marching Menuju Maut","The Brandals","The Brandals"
"100 Km/Jam","The Brandals","The Brandals"
"Lingkar Labirin","DGNR","The Brandals"
"Di Udara","Kamar Gelap","Efek Rumah Kaca"
"Bongkar","Swami I","Iwan Fals"
"Cacing","Cacing (Single)","Marjinal"
"Luka Indonesia","Luka Indonesia (Single)","Marjinal"
"Marsinah","Marsinah (Single)","Marjinal"
"Virus","Virus","Slank"
"HAM Burger","Virus","Slank"
"Poppies Lane Memory","Poppies Lane Memory (Single)","Slank"
"Punk Hari Ini","Kuta Rock City","Superman Is Dead"
"Citizen of the World","Black Market Love","Superman Is Dead"
"Bukan Pahlawan","Black Market Love","Superman Is Dead"
"Tarian Penghancur Raya","Abdi Lara Insani",".Feast"
"Komedi Situasi","Komedi Situasi (Single)",".Feast"
"Kami Belum Tentu","Membangun dan Menghancurkan",".Feast"
"Kenakalan Remaja di Era Informatika","Kamar Gelap","Efek Rumah Kaca"
"Jalang","Kamar Gelap","Efek Rumah Kaca"
"Sebelah Mata","Efek Rumah Kaca","Efek Rumah Kaca"
"Jeritan","Jeritan (Single)","Iwan Fals"
"Surat Buat Wakil Rakyat","Surat Buat Wakil Rakyat (Single)","Iwan Fals"
"Asu Tenanan","Asu Tenanan (Single)","Iwan Fals"
"Orde Sikat","Orde Sikat (Single)","The Brandals"
"Apatis","Retorika","The Brandals"
"St. Monica","The Brandals","The Brandals"
"Politic Issues","Politic Issues (Single)","Navicula"
"Mafia Hukum","Salto","Navicula"
"Metropolutan","Beautiful Rebel","Navicula"
"Busur Hujan","Tattoo","Navicula"
"Sistem Keparat","Koil","Koil"
"Ini Semua Harus Berakhir","Megaloblast","Koil"
"Pecandu Narkotik","Pecandu Narkotik (Single)","The Flowers"
"Rajawali","Rajawali (Single)","The Flowers"
"Generasi Frustasi","Generasi Frustasi (Single)","The Jansen"
"Mereguk Anti Depresan Lagi","Bintang Paling Terang","The Jansen"
"Sore di Kebun Raya","Bintang Paling Terang","The Jansen"
"Testamen","Testamen (Single)","Morgue Vanguard"
"Sektor Gaza","Demi Masa","Homicide"
"Rima Aborigin","Godzkilla Necronometry","Homicide"
"Puritan","Illsurrekshun","Homicide"
"Atas Nama Pertaubatan","Phonograph","Burgerkill"
"Anjing Tanah","Beyond Coma and Despair","Burgerkill"
"Sakit Jiwa","Adamantine","Burgerkill"
"Tiga Titik Hitam","Berkarat","Burgerkill"
"Aku Lupa Aku Luka","Blacklight","Koil"
"Mendekati Surga","Blacklight","Koil"
"Semoga Kau Sembuh","Blacklight","Koil"
"Posesif","Jangan Lupakan Nama Kami","Naif"
"Cemburu","Bintang Lima","Dewa 19"
"Munafik","Munafik (Single)","Zaskia Gotik"
"Lelaki Kardus","Lelaki Kardus (Single)","Nova Rizki"
"Tikus-Tikus Kantor","Tikus-Tikus Kantor (Single)","Iwan Fals"
"Sumbang","Sumbang","Iwan Fals"
"Aku Sayang Kamu","Aku Sayang Kamu","Iwan Fals"
"Demokrasi Nasi","Demokrasi Nasi (Single)","Marjinal"
"Predator","Predator","Marjinal"
"Cinta Pembodohan","Predator","Marjinal"
"Negara Dunia Ketiga","Predator","Marjinal"
"Bangsat","Bangsat (Single)","Slank"
"Tepi Campuhan","Tepi Campuhan (Single)","Slank"
"Ku Tak Bisa","PLUR","Slank"
"Case 15","Kuta Rock City","Superman Is Dead"
"Graveyard Blues","The Hangover Decade","Superman Is Dead"
"We Are The Outsiders","Angels and the Outsiders","Superman Is Dead"
"Padi Milik Rakyat","Membangun dan Menghancurkan",".Feast & Jason Ranti"
"Berita Kehilangan","Uang Muka",".Feast"
"Camkan","Uang Muka",".Feast"
"Dalam Hitungan","Uang Muka",".Feast"
"Lagu Lama","Kamar Gelap","Efek Rumah Kaca"
"Bukan Lawan Jenis","Kamar Gelap","Efek Rumah Kaca"
"Melankolia","Efek Rumah Kaca","Efek Rumah Kaca"
"Debu-Debu Berterbangan","Efek Rumah Kaca","Efek Rumah Kaca"
"Di Tepi Danau","Efek Rumah Kaca","Efek Rumah Kaca"
"Hipokrisi","Hipokrisi (Single)","Superman Is Dead"
"Bad Bad Bad","Sunset di Tanah Anarki","Superman Is Dead"
"Belati Tuhan","Black Market Love","Superman Is Dead"
"Kita vs Mereka","Kuta Rock City","Superman Is Dead"
"Anak Jendral","Anak Jendral (Single)","Seurieus"
"Rocker Juga Manusia","Rocker Juga Manusia","Seurieus"
"BDG 19 OKT","Heart Rock","Seurieus"
"Bebas","Bebas (Single)","Iwa K"
"Nombok Dong","Kramotak!","Iwa K"
"Malam Ini Indah","Kramotak!","Iwa K"
"Online","Online (Single)","Saykoji"
"So What Gitu Loh","So What Gitu Loh (Single)","Saykoji"
"Copy My Style","Copy My Style (Single)","Saykoji"
"Basi","Basi (Single)","Pandai Besi"
"Dogma","Dogma (Single)","Goodnight Electric"
"Am I Robot?","Love and Thunder","Goodnight Electric"
"Interval","Love and Thunder","Goodnight Electric"
"Erotika","Erotika (Single)","Goodnight Electric"
"Matraman","Matraman (Single)","The Upstairs"
"Disko Darurat","Energy","The Upstairs"
"Modern Bob","Energy","The Upstairs"
"Terekam (Tak Pernah Mati)","Energy","The Upstairs"
"Satelit","Satelit (Single)","The Upstairs"
"Pilihan","Pilihan (Single)","Kubik"
"Generasi Gelap","1.0","Kubik"
"Menuju Sirna","Menuju Sirna (Single)","Kubik"
"Anarki di RI","Anarki di RI (Single)","Pas Band"
"Bocah","Psycho I.D","Pas Band"
"Jengah","in (no) sensation","Pas Band"
"Gladiator","Stairway to Seventh","Pas Band"
"Kumerindu","in (no) sensation","Pas Band"
"Mesin Pembunuh","Mesin Pembunuh (Single)","Getah"
"Pesta Partai","Pesta Partai (Single)","Getah"
"Bakar","Bakar (Single)","Netral"
"Garuda di Dadaku","The Story Of","Netral"
"Sorry","White Album","Netral"
"Pertempuran Hati","Paten","Netral"
"Hari Yang Indah","Hari Yang Indah (Single)","Roxx"
"Rock Bergema","Roxx","Roxx"
"5 Cm","5 Cm (Single)","Roxx"
"Babi","Babi (Single)","Seringai"
"Mengadili Persepsi","Serigala Militia","Seringai"
"Serigala Militia","Serigala Militia","Seringai"
"Program Party Seringai","Taring","Seringai"
"Citra Natural","High Octane Rock","Seringai"
"Rimba Kota","Rimba Kota (Single)","Sucker Head"
"Lawan","The Head Sucker","Sucker Head"
"Manic Depressive","The Head Sucker","Sucker Head"
"Lagu Sampah","Lagu Sampah (Single)","Speaker First"
"Penipu","Muda dan Berani","Speaker First"
"Dunia Milik Kita","Dunia Milik Kita (Single)","Angsa & Serigala"
"Bersamaku","Bersamaku (Single)","Angsa & Serigala"
"Hikayat","Hikayat (Single)","Angsa & Serigala"
"Catatan Si Boy","Catatan Si Boy (Single)","Ikang Fawzi"
"Preman","Preman (Single)","Ikang Fawzi"
"Selamat Malam","Selamat Malam (Single)","Ikang Fawzi"
"Partai Anjing","Partai Anjing (Single)","Bunga Hitam"
"Punks Dadakan","Punks Dadakan (Single)","Bunga Hitam"
"Hip Hop Jalanan","Hip Hop Jalanan (Single)","Black Company"
"Manusia Reptil","Manusia Reptil (Single)","Black Company"
"Sistem Bobrok","Sistem Bobrok (Single)","Total Tofal"
"Politikus","Politikus (Single)","Total Tofal"
"Jakarta","Jakarta (Single)","Total Tofal"
"Siapa yang Salah","Siapa yang Salah (Single)","Franky Sahilatua"
"Perahu Retak","Perahu Retak","Franky Sahilatua"
"Orang Pinggiran","Orang Pinggiran","Franky Sahilatua"
"Terminal","Terminal (Single)","Franky Sahilatua"
"Balada Penganggur","Balada Penganggur (Single)","Franky Sahilatua"
"Balada Pelaut","Balada Pelaut (Single)","Gombloh"
"Berita Cuaca","Berita Cuaca (Single)","Gombloh"
"Di Angan-Angan","Di Angan-Angan (Single)","Gombloh"
"Selamat Pagi Kotaku","Selamat Pagi Kotaku (Single)","Gombloh"
"Gila","Gila (Single)","Gombloh"
"Opera Ken Arok","Opera Ken Arok","Harry Roesli"
"Ciaca","Ciaca (Single)","Harry Roesli"
"Kucing","Kucing (Single)","Harry Roesli"
"Garong","Garong (Single)","Harry Roesli"
"Pengecut","Pengecut (Single)","Poison The Well"
"Nervous","Nervous (Single)","Poison The Well"
"Sama Rata Sama Rasa","Sama Rata Sama Rasa (Single)","Jeruji"
"Lawan","Lawan (Single)","Jeruji"
"Freedom","Freedom (Single)","Jeruji"
"Merdeka","Merdeka (Single)","Type-X"
"Song from the Broken World","Song from the Broken World (Single)","Type-X"
"Salam Rindu","Salam Rindu (Single)","Type-X"
"Sakit Hati","Sakit Hati (Single)","Type-X"
"Genit","Genit (Single)","Type-X"
"Indonesia Sayang","Indonesia Sayang (Single)","Shaggydog"
"Di Sayidan","Hot Dogz","Shaggydog"
"Jalan-Jalan","Hot Dogz","Shaggydog"
"Kembali Berdansa","Kembali Berdansa (Single)","Shaggydog"
"Anjing Kintamani","Anjing Kintamani (Single)","Shaggydog"
"Balada Sinetron","Balada Sinetron (Single)","Endank Soekamti"
"Mantan Jadi Teman","Mantan Jadi Teman (Single)","Endank Soekamti"
"Semoga Kau di Neraka","Soekamti Day","Endank Soekamti"
"Lagu Peot","Lagu Peot (Single)","Endank Soekamti"
"Satria Bergitar","Satria Bergitar (Single)","Endank Soekamti"
"Berpacu Dalam Melodi","Berpacu Dalam Melodi (Single)","Kelompok Penerbang Roket"
"Anjing Jalanan","Teriakan Bocah","Kelompok Penerbang Roket"
"Mati Muda","Teriakan Bocah","Kelompok Penerbang Roket"
"Ironi","Ironi (Single)","Kelompok Penerbang Roket"
"Target Operasi","Haa!","Kelompok Penerbang Roket"
