"Name","Album","Artist"
"Bilur","Story of Peter","Sarasvati"
"Lingsir Wengi","Lingsir Wengi (Single)","Didi Kempot (dan berbagai versi)"
"Kamar Gelap","Efek Rumah Kaca",""
"Peradaban","Abdi Lara Insani",".Feast"
"Kelam Malam","OST. Pengabdi Setan","The Spouse"
"Wahai Kau","Telisik","Danilla Riyadi"
"Story of Peter","Story of Peter","Sarasvati"
"Tarian Penghancur Raya","Abdi Lara Insani",".Feast"
"Sebelah Mata","Efek Rumah Kaca","Efek Rumah Kaca"
"Berdistraksi","Telisik","Danilla Riyadi"
"Ivanna","Ivanna (Single)","Sarasvati"
"Gugatan Rakyat Semesta","Membangun dan Menghancurkan",".Feast"
"Hitam","OST. Sebelum Iblis Menjemput","The Spouse"
"Kemarau","Kamar Gelap","Efek Rumah Kaca"
"Tafsir Mistik","Uang Muka",".Feast"
"Batas","Lintasan Waktu","Danilla Riyadi"
"Boneka Abdi (My Doll)","Story of Peter","Sarasvati"
"Jangan Tengok Belakang","OST. Jangan Tengok Belakang","Ariff Alfian & The Ajis"
"Malam Jumat Kliwon","Malam Jumat Kliwon (Single)","Benyamin Sueb"
"Doa di Kala Senja","Doa di Kala Senja (Single)","Sarasvati"
"Kalian Merayakan Kemenangan","Abdi Lara Insani",".Feast"
"Hilang","Kamar Gelap","Efek Rumah Kaca"
"Oh Nina","Story of Peter","Sarasvati"
"Mantra","Mantra Mantra","Kunto Aji"
"dehidrasi (feat. Petra Sihombing)","Menari dengan Bayangan","Hindia"
"Kala","Kala (Single)","Sarasvati"
"Takut","Semoga Sembuh","Idgitaf"
"Seperti Rahim Ibu","OST. Gundala","The Spouse"
"Bangkai","Bangkai (Single)","Jason Ranti"
"Jentaka","Jentaka (Single)","For Revenge ft. Faizal Permana"
"Satu","Satu (Single)","Dewa 19"
"Kesaksian","Kesaksian (Single)","Iwan Fals"
"Bongkar","Bongkar (Single)","Iwan Fals"
"Gugur Bunga","Gugur Bunga (Lagu Nasional)","Ismail Marzuki"
"Komedi Situasi","Komedi Situasi (Single)",".Feast"
"Pembalasan","Pembalasan (Single)","Revenge The Fate"
"Nyala","Nyala (Single)","The Trees & The Wild"
"Amarah","Amarah (Single)","Koil"
"Atas Nama Pertaubatan","Phonograph","Burgerkill"
"Darah Hitam Kebencian","Beyond Coma and Despair","Burgerkill"
"Anjing Tanah","Beyond Coma and Despair","Burgerkill"
"Rumah Api","Rumah Api (Single)","Burgerkill"
"Pasukan Babi Neraka","Jagal Skena","Siksa Kubur"
"Memoar Sang Pengkhianat","Tentara Merah Darah","Siksa Kubur"
"Anak Lelaki dan Bogel","St. Kristo","Siksa Kubur"
"Mati Yang Sebenarnya","The Seventh Seal","Siksa Kubur"
"Puisi Puitis","Puisi Puitis (Single)","Koil"
"Aku Lupa Aku Luka","Blacklight","Koil"
"Nyanyian Malam","Nyanyian Malam (Single)","Koil"
"Ini Semua Harus Berakhir","Megaloblast","Koil"
"Sistem Keparat","Koil","Koil"
"Gaza","Profanatik","DeadSquad"
"Manufaktur Replika Baptis","Horror Vision","DeadSquad"
"Dominasi Belati","Horror Vision","DeadSquad"
"Jurnal Nekropol","Tyranation","DeadSquad"
"Penjara Batin","Chapter IV: Rise of the Destructive One","Jasad"
"Belati","Anniv.","Jasad"
"Nafsu","Rebirth of Jatisunda","Jasad"
"Rantai Darah","Rantai Darah (Single)","Revenge The Fate"
"Ambisi","Redemption","Revenge The Fate"
"Kashmir","Redemption","Revenge The Fate"
"Serana","Serana (Single)","For Revenge"
"Untuk Siapa?","Second Chance","For Revenge"
"Pulang","Second Chance","For Revenge"
"Perayaan Patah Hati","Aurum","For Revenge"
"Mesin Pembunuh","Mesin Pembunuh (Single)","Getah"
"Scared of You","Release","Getah"
"Pesta Partai","Pesta Partai (Single)","Getah"
"Altar","Altar (Single)","Senyawa"
"Tanggalkan","Acaraki","Senyawa"
