"Name","Album","Artist"
"Selamat Pagi","Friday","RAN"
"Pandangan Pertama","RAN for Your Life","RAN"
"RAN for Your Life","RAN",""
"Hari Bersamanya","Berlayar","Sheila On 7"
"Melompat Lebih Tinggi","OST. 30 Hari Mencari Cinta","Sheila On tujuh"
"Sahabat Sejati","Kisah Klasik Untuk Masa Depan","Sheila On 7"
"Pilihanku","Sriwedari","Maliq & D'Essentials"
"Untitled","1st","Maliq & D'Essentials"
"Senja Teduh Pelita","Senja Teduh Pelita (Single)","Maliq & D'Essentials"
"Harus Bahagia","Harus Bahagia (Single)","Yura Yunita"
"Cinta dan Rahasia","Cinta dan Rahasia (Single)","Yura Yunita & Glenn Fredly"
"Merakit","Merakit","Yura Yunita"
"Garuda di Dadaku","The Story Of","Netral"
"Laskar Pelangi","Laskar Pelangi","Nidji"
"Semangat Baru","Top Up","Nidji"
"Siapkah Kau 'Tuk Jatuh Cinta Lagi","Kereta Kencan","HIVI!"
"Pelangi","Kereta Kencan","HIVI!"
"Orang Ke 3","Say Hi! to HIVI!","HIVI!"
"Bahagia","Stronger","GAC (Gamaliél Audrey Cantika)"
"Cinta","Stronger","GAC (Gamaliél Audrey Cantika)"
"Cantik","Cantik","Kahitna"
"Cerita Cinta","Cerita Cinta","Kahitna"
"Andai Dia Tahu","Andai Dia Tahu (Single)","Kahitna"
"Ingatlah Hari Ini","Pop Oke","Project Pop"
"Bukan Superstar","Top of the Pop","Project Pop"
"Goyang Duyu","Pop Oke","Project Pop"
"Mobil Balap","Naif","Naif"
"Piknik '72","Naif","Naif"
"Karena Kamu Cuma Satu","Karena Kamu Cuma Satu (Single)","Naif"
"I Love You Bibeh","Mencoba Sukses","The Changcuters"
"Racun Dunia","Mencoba Sukses","The Changcuters"
"Main Serong","Visualis","The Changcuters"
"Zona Nyaman","Lesmana","Fourtwnty"
"Aku Tenang","Lesmana","Fourtwnty"
"Untuk Perempuan yang Sedang Dalam Pelukan","Ruang Tunggu","Payung Teduh"
"Akad","Ruang Tunggu","Payung Teduh"
"Sepatu","Gajah","Tulus"
"Gajah","Gajah","Tulus"
"Teman Hidup","Tulus","Tulus"
"Satu-Satu","Satu-Satu (Single)","Idgitaf"
"Jatuh Suka","Manusia","Tulus"
"Serenata Jiwa Lara","Serenata Jiwa Lara (Single)","Diskoria & Dian Sastrowardoyo"
"Balada Insan Muda","Balada Insan Muda (Single)","Diskoria"
"Cinta Pertama dan Terakhir","The First Album","Sherina Munaf"
"Geregetan","Geregetan (Single)","Sheryl Sheinafia"
"Galih & Ratna","Galih & Ratna (Single)","GAC (Gamaliél Audrey Cantika)"
"Selamat Datang","Musim Yang Baik","Sheila On 7"
"Itu Aku","Itu Aku (Single)","Sheila On 7"
"Film Favorit","Film Favorit (Single)","Sheila On 7"
