"Name","Album","Artist"
"Monokrom","Monokrom","Tulus"
"To The Bone","Flying Solo","Pamungkas"
"Bertaut","Menari dengan Bayangan","Nadin Amizah"
"Secukupnya","Menari dengan Bayangan","Hindia"
"Rehat","Mantra Mantra","Kunto Aji"
"Untitled","1st","Maliq & D'Essentials"
"Akad","Ruang Tunggu","Payung Teduh"
"Hati-Hati di Jalan","Manusia","Tulus"
"One Only","Walk The Talk","Pamungkas"
"Rayu","Selamat Ulang Tahun","Nadin Amizah"
"Rumah ke Rumah","Menari dengan Bayangan","Hindia"
"Pilu Membiru","Mantra Mantra","Kunto Aji"
"Hingga Tua Bersama","Jejak","Rizky Febian"
"Penjaga Hati","Penjaga Hati (Single)","Nadhif Basalamah"
"Kau Rumahku","Kau Rumahku (Single)","Raissa Anggiani"
"Dunia Tipu-Tipu","Tutur Batin","Yura Yunita"
"Interaksi","Manusia","Tulus"
"Dengarkan Dia","Dengarkan Dia (Single)","Teman Sebangku"
"Sorry","Flying Solo","Pamungkas"
"Semua Aku Dirayakan","Semua Aku Dirayakan (Single)","Nadin Amizah"
"Evaluasi","Menari dengan Bayangan","Hindia"
"Sulung","Mantra Mantra","Kunto Aji"
"Himalaya","Himalaya (Single)","Maliq & D'Essentials"
"Untuk Perempuan yang Sedang Dalam Pelukan","Ruang Tunggu","Payung Teduh"
"Runtuh","Runtuh (Single)","Feby Putri & Fiersa Besari"
"Komang","Manusia","Raim Laode"
"Diri","Manusia","Tulus"
"Deeper","Walk The Talk","Pamungkas"
"Beranjak Dewasa","Selamat Ulang Tahun","Nadin Amizah"
"Cincin","Lagipula Hidup Akan Berakhir","Hindia"
"Tenang","Tutur Batin","Yura Yunita"
"Bicara","Memory Lane","The Overtunes & Monita Tahalea"
"Tukar Jiwa","Monokrom","Tulus"
"Modern Love","Solipsism 0.2","Pamungkas"
"Amin Paling Serius","Amin Paling Serius (Single)","Nadin Amizah & Sal Priadi"
"Membasuh","Menari dengan Bayangan","Hindia"
"Jakarta Jakarta","Mantra Mantra","Kunto Aji"
"Memori","Memori (Single)","Maliq & D'Essentials"
"Resah","Ruang Tunggu","Payung Teduh"
"I Remember","I Remember (Single)","The Overtunes"
"Pamit","Monokrom","Tulus"
"A Day Before","Solipsism 0.2","Pamungkas"
"Seperti Tulang","Selamat Ulang Tahun","Nadin Amizah"
"Untuk Apa/Untuk Apa?","Menari dengan Bayangan","Hindia"
"Topik Semalam","Mantra Mantra","Kunto Aji"
"Senja Teduh Pelita","Senja Teduh Pelita (Single)","Maliq & D'Essentials"
"Berdua Saja","Ruang Tunggu","Payung Teduh"
"Celengan Rindu","Konspirasi Alam Semesta","Fiersa Besari"
"April","Konspirasi Alam Semesta","Fiersa Besari"
"Manusia Kuat","Monokrom","Tulus"
"Closure","Flying Solo","Pamungkas"
"Taruh","Selamat Ulang Tahun","Nadin Amizah"
"Masalah Masa Depan","Lagipula Hidup Akan Berakhir","Hindia"
"Saudade","Mantra Mantra","Kunto Aji"
"Pilihanku","Sriwedari","Maliq & D'Essentials"
"Cerita Tentang Gunung dan Laut","Ruang Tunggu","Payung Teduh"
"Melawan Hati","Melawan Hati (Single)","Fiersa Besari feat. Prinsa Mandagie"
"Garis Waktu","Garis Waktu (Single)","Fiersa Besari"
"Langit Abu-Abu","Monokrom","Tulus"
"Be My Friend","Walk The Talk","Pamungkas"
"Kereta Ini Melaju Terlalu Cepat","Selamat Ulang Tahun","Nadin Amizah"
"Mata Air","Lagipula Hidup Akan Berakhir","Hindia & Natasha Udu"
"Harus Bahagia","Harus Bahagia (Single)","Yura Yunita"
"fine.","fine. (Single)","Ardhito Pramono"
"bitterlove","a letter to my 17 year old","Ardhito Pramono"
"925","Craziest Thing Happened in My Backyard","Ardhito Pramono"
"Here We Go Again / Fanboi","Craziest Thing Happened in My Backyard","Ardhito Pramono"
"Sudah","Sudah (Single)","Ardhito Pramono"
"Teman Hidup","Teman Hidup (Single)","Tulus"
"I Love You but I'm Letting Go","I Love You but I'm Letting Go (Single)","Pamungkas"
"Hormat Kepada Angin","Hormat Kepada Angin (Single)","Nadin Amizah"
"Apapun yang Terjadi","Menari dengan Bayangan","Hindia & Rasvana"
"Intuisi","Tutur Batin","Yura Yunita"
"Guna Manusia","Guna Manusia (Single)","Barasuara"
"Pikiran dan Perjalanan","Pikiran dan Perjalanan","Barasuara"
"Asmalibrasi","Asmalibrasi (Single)","Soegi Bornean"
"Saturnus","Penuh","Soegi Bornean"
"Pijaraya","Asmalibrasi","Soegi Bornean"
"Berjalan Lebih Jauh","Berjalan Lebih Jauh","Banda Neira"
"Esok Pasti Jumpa","Berjalan Lebih Jauh","Banda Neira"
"Di Beranda","Di Beranda (Single)","Banda Neira"
"Kota","Kota (Single)","Dere"
"Rumah","Rumah (Single)","Dere"
"Tanya","Rubik","Dere"
"Berlagu","Rubik","Dere"
"Satu-Satu","Satu-Satu (Single)","Idgitaf"
"Takut","Semoga Sembuh","Idgitaf"
"Semoga Sembuh","Semoga Sembuh","Idgitaf"
"Somebody's Pleasure","Somebody's Pleasure (Single)","Aziz Hedra"
"No More You and I","No More You and I (Single)","Aziz Hedra"
"Lampu Merah","Lampu Merah (Single)","The Lantis"
"Halo","Halo (Single)","The Lantis"
"Sesaat Kau Hadir","Revisited","Utha Likumahuwa"
"Esok Kan Masih Ada","Kuingin","The Groove"
"Dahulu","Kuingin","The Groove"
"Satu Mimpiku","Kuingin","The Groove"
"Anything You Want","Human","Teddy Adhitya"
"Let Me","Questions","Teddy Adhitya"
"Kembali","Kembali (Single)","Teddy Adhitya"
"Semestinya","Ocean","Teddy Adhitya"
"Dan...","Sheila On 7","Sheila On 7"
"Pemuja Rahasia","Pejantan Tangguh","Sheila On 7"
"Mudah Saja","Menentukan Arah","Sheila On 7"
"Satu","Satu (Single)","Dewa 19"
"Cinta 'Kan Membawamu Kembali","Terbaik Terbaik","Dewa 19"
"Kasih Putih","Kasih Putih","Glenn Fredly"
"Terserah","Private Collection","Glenn Fredly"
"Cukup Sudah","Glenn","Glenn Fredly"
"Percayalah","Percayalah (Single)","Afgan & Raisa"
"Jatuh Hati","Jatuh Hati (Single)","Raisa"
"Could It Be","Raisa","Raisa"
"Tentang Dirimu","Handmade","Raisa"
"Nyawa dan Harapan","Handmade","Raisa"
"Sadis","Confession No.1","Afgan"
"Terima Kasih Cinta","Confession No.1","Afgan"
"Panah Asmara","The One","Afgan"
"Pendam","Pendam (Single)","Afgan"
"Indah pada Waktunya","OST. Critical Eleven","Risky Dilaga"
"Pelukku Untuk Pelikmu","OST. Imperfect","Fiersa Besari"
"Arah Langkah","Konspirasi Alam Semesta","Fiersa Besari"
"Nadir","Konspirasi Alam Semesta","Fiersa Besari"
"Setapak Sriwedari","Setapak Sriwedari (Single)","Maliq & D'Essentials"
"Drama Romantika","Sriwedari","Maliq & D'Essentials"
"Taman Sari","Musik Pop","Maliq & D'Essentials"
"Semesta","Musik Pop","Maliq & D'Essentials"
"Bagaimana?","Bagaimana? (Single)","Maliq & D'Essentials"
"Dekat di Hati","RAN for Your Life","RAN"
"Pandangan Pertama","RAN for Your Life","RAN"
"Selamat Pagi","Friday","RAN"
"Kulakukan Semua Untukmu","Hanya Untukmu","RAN"
"Saling Merindu","Saling Merindu (Single)","RAN"
"Cinta dan Rahasia","Cinta dan Rahasia (Single)","Yura Yunita & Glenn Fredly"
"Buka Hati","Merakit","Yura Yunita"
"Merakit","Merakit","Yura Yunita"
"Takkan Apa","Merakit","Yura Yunita"
"Mulai Langkahmu","Mulai Langkahmu (Single)","Yura Yunita"
"Jalan Pulang","OST. Jalan Yang Jauh Jangan Lupa Pulang","Yura Yunita"
"Juwita Malam","Juwita Malam (Single)","Rendy Pandugo"
"I Don't Care","The Journey","Rendy Pandugo"
"By My Side","The Journey","Rendy Pandugo"
"Sebuah Kisah Klasik","Untuk Masa Depan","Sheila On 7"
"Tunjuk Satu Bintang","Sheila On 7","Sheila On 7"
"Hari Bersamanya","Berlayar","Sheila On 7"
"W.H.U.T.A","W.H.U.T.A (Single)","Teddy Adhitya"
"Langit Favoritku","Langit Favoritku (Single)","Teddy Adhitya"
"Break My Heart Again","Break My Heart Again (Single)","Pamungkas"
"Birdy","Solipsism 0.2","Pamungkas"
"Live Forever","Solipsism 0.2","Pamungkas"
"Be Okay Again Today","Solipsism 0.2","Pamungkas"
"Riding The Wave","Solipsism 0.2","Pamungkas"
"sebatas-mimpi","sebatas-mimpi (Single)","Hindia"
"jam makan siang","Lagipula Hidup Akan Berakhir","Hindia"
"bunga tidur","Lagipula Hidup Akan Berakhir","Hindia"
"kita ke sana","Lagipula Hidup Akan Berakhir","Hindia"
"mungkin tak selamanya","Lagipula Hidup Akan Berakhir","Hindia"
"Sorai","Selamat Ulang Tahun","Nadin Amizah"
"Cermin","Selamat Ulang Tahun","Nadin Amizah"
"Mendarah","Selamat Ulang Tahun","Nadin Amizah"
"Gajah","Gajah","Tulus"
"Sepatu","Gajah","Tulus"
"Jangan Cintai Aku Apa Adanya","Gajah","Tulus"
"Baru","Gajah","Tulus"
"Tujuh Belas","Manusia","Tulus"
"Nala","Manusia","Tulus"
"Kelana","Manusia","Tulus"
"Jatuh Suka","Manusia","Tulus"
"Tidur","Ruang Tunggu","Payung Teduh"
"Angin Pujaan Hujan","Ruang Tunggu","Payung Teduh"
"Di Atas Meja","Ruang Tunggu","Payung Teduh"
"Menuju Senja","Ruang Tunggu","Payung Teduh"
"Muram","Ruang Tunggu","Payung Teduh"
"Idola","Musik Pop","Maliq & D'Essentials"
"Ananda","Musik Pop","Maliq & D'Essentials"
"Tandanya","Musik Pop","Maliq & D'Essentials"
"Aurora","Musik Pop","Maliq & D'Essentials"
"Bilang","Bilang (Single)","Maliq & D'Essentials"
"Coba Katakan","Free Your Mind","Maliq & D'Essentials"
"Let Me Go","Let Me Go (Single)","Daniel Caesar & Ardhito Pramono"
"Plaza Avenue","Craziest Thing Happened in My Backyard","Ardhito Pramono"
"2:15 AM","2:15 AM (Single)","Ardhito Pramono"
"Something New","a letter to my 17 year old","Ardhito Pramono"
"cigarettes of ours","a letter to my 17 year old","Ardhito Pramono"
"I Just Couldn't Save You Tonight","I Just Couldn't Save You Tonight (Single)","Ardhito Pramono & Aurélie"
"Sudah","Merakit","Yura Yunita"
"Jauh","Merakit","Yura Yunita"
"Kataji","Merakit","Yura Yunita"
"Peka","Peka (Single)","Yura Yunita"
"Film Favorit","Film Favorit (Single)","Sheila On 7"
"Betapa","507","Sheila On 7"
"Kisah Klasik","Kisah Klasik (Single)","Rendy Pandugo & an dee"
"Home","Home (Single)","Rendy Pandugo"
"Why? (Reprise)","The Journey","Rendy Pandugo"
"I'll Be Around","I'll Be Around (Single)","Rendy Pandugo"
"Time","Time (Single)","The Overtunes"
"Benar-Benar","Benar-Benar (Single)","The Overtunes"
