"Name","Album","Artist"
"Sial","Fabula","Mahalini"
"Tak Ingin Usai","Tak Ingin Usai (Single)","Keisya Levronka"
"Pesan Terakhir","Lyodra","Lyodra"
"Putus atau Terus","Putus atau Terus (Single)","Judika"
"Bertaut","Menari dengan Bayangan","Nadin Amizah"
"Pilu Membiru","Mantra Mantra","Kunto Aji"
"Runtuh","Runtuh (Single)","Feby Putri & Fiersa Besari"
"Cinta Ini Membunuhku","Respect","d'Masiv"
"Kenangan Terindah","Kenangan Terindah","Samsons"
"Pupus","Cintailah Cinta","Dewa 19"
"Yang Terdalam","Taman Langit","Peterpan"
"Hapus Aku","Ost. Alexandria","Nidji"
"Mati-matian","Mati-matian (Single)","Mahalini"
"Tak Segampang Itu","Tak Segampang Itu (Single)","Anggi Marito"
"Aku yang Tersakiti","Setengah Mati Merindu","Judika"
"Sisa Rasa","Fabula","Mahalini"
"Ego","Ego (Single)","Lyodra"
"Usai","Tiara Andini","Tiara Andini"
"Peri Cintaku","Peri Cintaku (Single)","Ziva Magnolya"
"Waktu yang Salah","Tempat Aku Pulang","Fiersa Besari"
"Sebuah Kisah Klasik","Untuk Masa Depan","Sheila On 7"
"Mengenangmu","Tak Lekang Oleh Waktu","Kerispatih"
"Demi Waktu","Melayang","Ungu"
"Menghapus Jejakmu","Hari yang Cerah...","Peterpan"
"Hancur","Hancur (Single)","Judika"
"Melawan Restu","Fabula","Mahalini"
"Maafkan Aku #terlanjurmencinta","Maafkan Aku #terlanjurmencinta (Single)","Tiara Andini"
"Pilihan yang Terbaik","Pilihan yang Terbaik (Single)","Ziva Magnolya"
"Rumah Singgah","Asa","Fabio Asher"
"Bertahan Terluka","Asa","Fabio Asher"
"Sorry","Flying Solo","Pamungkas"
"I Love You but I'm Letting Go","I Love You but I'm Letting Go (Single)","Pamungkas"
"Evaluasi","Menari dengan Bayangan","Hindia"
"Secukupnya","Menari dengan Bayangan","Hindia"
"Sorai","Selamat Ulang Tahun","Nadin Amizah"
"Dan...","Sheila On 7","Sheila On 7"
"Tapi Bukan Aku","Tak Lekang Oleh Waktu","Kerispatih"
"Cinta Dalam Hati","Untukmu Selamanya","Ungu"
"Mungkin Nanti","Bintang di Surga","Peterpan"
"Bukan Dia Tapi Aku","Setengah Mati Merindu","Judika"
"Kisah Sempurna","Fabula","Mahalini"
"Sang Dewi","Sang Dewi (Single)","Lyodra & Andi Rianto"
"Garis Waktu","Garis Waktu (Single)","Fiersa Besari"
"Yang Terlewatkan","Menentukan Arah","Sheila On 7"
"Lagu Rindu","Tak Lekang Oleh Waktu","Kerispatih"
"Luka Disini","Penguasa Hati","Ungu"
"Semua Tentang Kita","Taman Langit","Peterpan"
"Jikalau Kau Cinta","Judika","Judika"
"Bohongi Hati","Bohongi Hati (Single)","Mahalini"
